X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
57.0,57.0,train,9.176085983213313E-4,80.58897470378008,0.8988296289187783
58.0,58.0,train,7.780784166133313E-4,68.28145468053863,0.856667910062628
59.0,59.0,train,8.863844616120458E-4,77.9775678730484,0.8906272534573724
60.0,60.0,train,4.6282374563248274E-4,36.50124914407544,0.6851030477853153
61.0,61.0,train,1.6940098163005434E-4,16.650325951699784,0.34487898149758756
62.0,62.0,train,2.583847502434004E-4,21.446900318436267,0.4753882443886941
63.0,63.0,train,0.0018009894952357242,99.81349562070277,0.9888514298015733
64.0,64.0,train,8.650262801378245E-5,11.076170737938252,0.19423807547463956
65.0,65.0,train,7.847171220593595E-4,68.91924394996268,0.8590239936867518
66.0,66.0,train,1.9060854496863068E-4,17.963300369274215,0.3786639528813831
67.0,67.0,train,2.415158764350472E-4,20.495854576771578,0.45282198764443204
68.0,68.0,train,0.001167578624526274,94.85457361275891,0.9457980019254564
69.0,69.0,train,4.3241575725782054E-4,33.6458280959412,0.6602657771498947
70.0,70.0,train,6.67742684981054E-4,58.928454994554926,0.8112102107255641
71.0,71.0,train,0.001224628026527527,97.02841239107124,0.9529935291878209
72.0,72.0,train,6.0554712873198545E-5,9.398124351547175,0.14031053737627341
73.0,73.0,train,6.525785677122117E-4,57.26538651909966,0.803925695162561
74.0,74.0,train,1.283387626707297E-4,14.049554843154,0.27415386966797606
75.0,75.0,train,3.37656859372852E-4,26.205221988455186,0.5695876915195023
76.0,76.0,train,4.5720103900750747E-4,35.85989236992503,0.6806513696242351
77.0,77.0,train,0.0011290429831247572,92.54825061536545,0.9403241235763679
78.0,78.0,train,7.224515289295418E-4,65.06634284312982,0.8353132432826229
79.0,79.0,train,4.361168434484158E-4,33.926905936421306,0.6633905722289184
80.0,80.0,train,5.442178722098539E-4,45.01634957984918,0.7430111649181861
81.0,81.0,train,7.268886885619841E-4,65.40222977883715,0.8371275821142312
82.0,82.0,train,7.08621968071969E-4,63.77448709096178,0.8295276989760574
83.0,83.0,train,6.819817031292547E-4,60.485797753679606,0.8178037693012585
84.0,84.0,train,1.051537983120275E-4,12.414264317247564,0.2308985862316214
85.0,85.0,train,7.892510624430295E-4,69.51354753401255,0.86061079774831
86.0,86.0,train,3.1291838743738494E-4,24.515668540121176,0.5421658678655907
87.0,87.0,train,6.939628140799619E-4,61.4234072835268,0.8231730391099839
88.0,88.0,train,6.2571759564901E-4,53.81251610855428,0.7903255282933002
89.0,89.0,train,8.852767007846452E-4,77.92344654499294,0.890324343301637
90.0,90.0,train,1.3076713286346297E-4,14.164279034402966,0.278541212950682
91.0,91.0,train,6.792662033416524E-4,60.0439794697229,0.8165643444825861
92.0,92.0,train,0.00121736211960739,96.53978136773893,0.9521330297535618
93.0,93.0,train,6.22936430866567E-4,53.6313689055109,0.7888645662043843
94.0,94.0,train,1.311037580599134E-4,14.180182315349326,0.27914729814224004
95.0,95.0,train,2.8763197277869716E-4,23.32253676368671,0.5123302966483264
96.0,96.0,train,7.977156284656026E-4,70.29320347278252,0.8635256123289451
97.0,97.0,train,9.487158779575382E-4,82.83532939203933,0.90638956276048
98.0,98.0,train,6.287147450873521E-4,54.04113124589446,0.7918886331113215
99.0,99.0,train,6.57010886968999E-4,57.951276090532765,0.8060834843058469
100.0,100.0,train,0.0010672558034915138,89.44876204856573,0.9303704570991951
101.0,101.0,train,2.859179828651915E-4,23.211588892610706,0.510238971283937
102.0,102.0,train,0.0011530050985213527,93.56909013846789,0.9437895436616462
103.0,103.0,train,3.403667855646147E-4,26.351768788605632,0.5724899214874853
104.0,104.0,train,0.001104964937816244,91.0925059469024,0.9366267176446166
105.0,105.0,train,0.0014896630746810632,99.01469345685261,0.9757459167067946
106.0,106.0,train,6.337190950298757E-4,54.46968566224622,0.7944726255915477
107.0,107.0,train,8.084042091906504E-4,70.77598128823531,0.8671193582975543
108.0,108.0,train,2.473005889935158E-4,20.869428898152993,0.46066776675351284
109.0,109.0,train,2.9392136102992703E-4,23.725191904256878,0.5199280802194808
110.0,110.0,train,2.8109052837131E-4,22.843505246321516,0.5043004240574429
111.0,111.0,train,3.1318745662637157E-4,24.540288093432796,0.5424733247929421
