Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.15353E-4,42.01191005,0.723807698,0.071284271,0.394936709,0
5.17512E-4,42.270400886,0.72529221,0.070803271,0.394936709,0
5.20753E-4,42.52991313,0.727506036,0.07032227,0.394936709,0
5.23093E-4,42.791032271,0.72909337,0.06984127,0.397468354,0
5.24799E-4,43.000616443,0.730245023,0.069456469,0.4,0
5.27699E-4,43.264026666,0.732190836,0.068975469,0.405063291,0
5.30029E-4,43.528548388,0.733744129,0.068494468,0.407594937,0
5.32515E-4,43.794203184,0.735391686,0.068013468,0.410126582,0
5.33515E-4,44.00744548,0.736051715,0.067628668,0.410126582,0
5.36046E-4,44.274966857,0.737714291,0.067147667,0.412658228,0
5.3797E-4,44.543513449,0.738970726,0.066666667,0.417721519,0
5.39667E-4,44.759143336,0.74007454,0.066281866,0.420253165,0
5.44473E-4,45.030768895,0.743174535,0.065800866,0.427848101,0
5.47178E-4,45.303866143,0.74490318,0.065319865,0.430379747,0
5.48315E-4,45.523070088,0.745626392,0.064935065,0.430379747,0
5.5124E-4,45.798300925,0.74747722,0.064454064,0.430379747,0
5.53427E-4,46.019239284,0.748852418,0.064069264,0.430379747,0
5.56826E-4,46.296914943,0.750974838,0.063588264,0.435443038,0
5.5914E-4,46.520373482,0.752408984,0.063203463,0.435443038,0
5.62538E-4,46.800961244,0.754500958,0.062722463,0.437974684,0
5.63417E-4,47.026233068,0.755039239,0.062337662,0.440506329,0
5.66733E-4,47.252449595,0.757058492,0.061952862,0.440506329,0
5.69146E-4,47.536821038,0.758517939,0.061471861,0.443037975,0
5.71009E-4,47.764802338,0.759638201,0.061087061,0.44556962,0
5.71992E-4,48.050567356,0.760227317,0.060606061,0.450632911,0
5.73239E-4,48.279607877,0.760973075,0.06022126,0.453164557,0
5.74686E-4,48.509171022,0.761834906,0.05983646,0.460759494,0
5.76928E-4,48.797239163,0.763164456,0.059355459,0.460759494,0
5.80451E-4,49.02931631,0.765238194,0.058970659,0.463291139,0
5.83708E-4,49.26225522,0.767139677,0.058585859,0.463291139,0
5.86831E-4,49.554978405,0.768947981,0.058104858,0.46835443,0
5.8811E-4,49.789935244,0.769684506,0.057720058,0.46835443,0
5.91975E-4,50.025747402,0.771896342,0.057335257,0.470886076,0
5.94108E-4,50.263212697,0.773108171,0.056950457,0.473417722,0
5.95252E-4,50.501171074,0.773754994,0.056565657,0.475949367,0
5.95908E-4,50.799004427,0.774125562,0.056084656,0.475949367,0
5.97814E-4,51.037686513,0.77519764,0.055699856,0.481012658,0
